Crop,Season,Sowing_min,Sowing_max,Harvest_min,Harvest_max,N_min,N_max,P_min,P_max,K_min,K_max,temperature_min,temperature_max,humidity_min,humidity_max,ph_min,ph_max,rainfall_min,rainfall_max,rainfall_category
rice,kharif,June,July,October,December,60,99,35,60,35,45,20,26.9,80.1,85,5,7.9,182.6,298.6,2
maize,kharif,June,November,September,March,60,100,35,60,15,25,18,26.5,55.3,74.8,5.5,7,60.7,109.8,0
chickpea,other,October,November,February,March,20,60,55,80,75,85,17,21,14.3,20,6,8.9,65.1,94.8,0
kidneybeans,other,June,July,October,November,0,40,55,80,15,25,15.3,24.9,18.1,25,5.5,6,60.3,149.7,1
pigeonpeas,kharif,June,July,December,January,0,40,55,80,15,25,18.3,37,30.4,69.7,4.5,7.4,90.1,198.8,1
mothbeans,kharif,June,July,September,October,0,40,35,60,15,25,24,32,40,65,3.5,9.9,30.9,74.4,0
mungbean,kharif,March,August,September,June,0,40,35,60,15,25,27,29.9,80,90,6.2,7.2,36.1,59.9,0
blackgram,kharif,June,July,September,October,20,60,55,80,15,25,25.1,34.9,60.1,70,6.5,7.8,60.4,74.9,0
lentil,rabi,October,November,February,March,0,40,55,80,15,25,18.1,29.9,60.1,69.9,5.9,7.8,35,54.9,0
pomegranate,other,July,September,February,March,0,40,5,30,35,45,18.1,25,85.1,95,5.6,7.2,102.5,112.5,1
banana,other,all,all,9_after_sow,all,80,120,70,95,45,55,25,29.9,75,85,5.5,6.5,90.1,119.8,1
mango,other,July,September,March,June,0,40,15,40,25,35,27,36,45,55,4.5,7,89.3,100.8,0
grapes,other,October,December,February,April,0,40,120,145,195,205,8.8,41.9,80,84,5.5,6.5,65,74.9,0
watermelon,ziad,January,March,April,June,80,120,5,30,45,55,24,27,80,90,6,7,40.1,59.8,0
apple,other,December,January,August,October,0,40,120,145,195,205,21,24,90,94.9,5.5,6.5,100.1,125,1
orange,other,June,July,November,February,0,40,5,30,5,15,10,34.9,90,95,6,8,100.2,119.7,1
papaya,other,February,July,9_after_sow,all,31,70,46,70,45,55,23,43.7,90,94.9,6.5,7,40.4,248.9,1
cotton,kharif,April,May,September,December,100,140,35,60,15,25,22,26,75,84.9,5.8,8,60.7,99.9,0
jute,kharif,March,April,July,September,60,100,35,60,35,45,23.1,27,70.9,89.9,6,7.5,150.2,199.8,1
coffee,other,June,July,November,January,80,120,15,40,25,35,23.1,27.9,50,69.9,6,7.5,115.2,199.5,1
Barley,Rabi,October,November,March,April,60,103,106,141,154,180,20.9,37.6,79.5,90.5,4,7.4,168.3,188.2,1
Barseem,Rabi,October,November,January,April,100,138,90,112,159,180,10.7,28.4,28.5,80.7,3.8,7.1,82.9,192.5,1
Ber,Zaid,July,August,November,January,33,115,10,130,7,205,22.5,39.8,33.1,85.3,3.7,7.4,49.9,185.9,1
Brinjal,Kharif,June,November,September,April,77,140,96,136,179,202,26.8,32.1,53.9,82.6,3.6,7.6,86.2,273.6,1
Carrot,Rabi,October,November,February,March,58,119,27,113,28,197,25.1,35.2,40.8,89.3,3.7,7.8,142.5,268.9,2
Cauliflower,Rabi,June,October,November,February,98,122,71,127,42,183,22.5,37.2,15.4,93.8,4.7,7.6,168.4,242.7,2
