Latitude,Longitude,District,Block,Village,RL_mm,WL_Jun20,Groundwater,Rainfall
30.356914,76.756756,Ambala,Ambala-1,Nasirpur,269.22,2.05,2,2
30.320462,76.725885,Ambala,Ambala-1,Bullana,267.04,1.25,2,2
30.303836,76.694716,Ambala,Ambala-1,Aima,263.1,4.18,2,2
30.27206,76.632687,Ambala,Ambala-1,Bhurang Pur,255.48,23.83,0,2
30.263125,76.612307,Ambala,Ambala-1,Pinjola,254.12,4.88,2,2
30.239651,76.643212,Ambala,Ambala-1,Khanna Majra,252.82,3.8,2,2
30.257985,76.660791,Ambala,Ambala-1,Baknaur,255.11,9.76,1,2
30.284059,76.695062,Ambala,Ambala-1,Chaur Mastpur,256.8,8.24,1,2
30.238125,76.70586,Ambala,Ambala-1,Hasanpur,256.65,16.83,1,2
30.204831,76.663049,Ambala,Ambala-1,Jansui,257.15,4.88,2,2
30.367414,76.785812,Ambala,Ambala-1,Ambala City,270.77,1.79,2,2
30.306892,76.804077,Ambala,Ambala-1,Ugara,267.1,6.1,1,2
30.275542,76.787932,Ambala,Ambala-1,Tharwa,264.91,3.2,2,2
30.239404,76.773086,Ambala,Ambala-1,Bichpari,261.6,10.79,1,2
30.269483,76.740838,Ambala,Ambala-1,Tejan,260.58,3.93,2,2
30.297552,76.763378,Ambala,Ambala-1,Behbalpur,268.07,2.4,2,2
30.28,76.88,Ambala,Ambala-1,Dukheri,270.68,1.75,2,2
30.267544,76.849956,Ambala,Ambala-1,Mohra,268.69,3.3,2,2
30.372793,76.731021,Ambala,Ambala-1,Kalumazra,269.72,4.15,2,2
30.362162,76.811303,Ambala,Ambala-2,Ambala Cantt.,273.39,5.51,1,2
30.421039,76.766775,Ambala,Ambala-2,Lohgarh,273.67,4.25,2,2
30.401343,76.806114,Ambala,Ambala-2,Mandaur,274.87,4.2,2,2
30.404676,76.847418,Ambala,Ambala-2,Panjokhra,279.9,6.25,1,2
30.38,76.88,Ambala,Ambala-2,Boh,274,4.6,2,2
30.326623,76.869294,Ambala,Ambala-2,Khojkipur,275.98,4.45,2,2
30.34192,76.928264,Ambala,Ambala-2,Kapoori/Saphera,282.86,15.32,1,2
30.36,76.83,Ambala,Ambala-2,Ambala Cantt,274,5.35,1,2
30.149719,77.024532,Ambala,Barara,Akalgarh,272.94,35.17,0,2
30.236432,77.071974,Ambala,Barara,Holi,272.22,14.35,1,2
30.233135,77.14422,Ambala,Barara,Manki,281.2,6.55,1,2
30.261567,77.097095,Ambala,Barara,Salehpur,270.07,3.7,2,2
30.305554,77.133969,Ambala,Barara,Binjal Pur,274.02,4.34,2,2
30.254023,77.026317,Ambala,Barara,Sohana,272.66,5.47,1,2
30.23217,76.984723,Ambala,Barara,Tandwal,272.27,5.05,1,2
30.21066,77.038286,Ambala,Barara,Barara,273.76,18.07,1,2
30.183111,77.037152,Ambala,Barara,Adhoya,273.9,36.26,0,2
30.192125,76.979285,Ambala,Barara,Ugala,277.47,34.7,0,2
30.211745,77.043337,Ambala,Barara,Barara,274.35,18.07,1,2
30.473938,77.121819,Ambala,Naraingarh,Naraingarh,325.1,10.4,1,2
30.535249,77.116511,Ambala,Naraingarh,Khanpur,322.65,15.74,1,2
30.533469,77.08908,Ambala,Naraingarh,Bhurewala,328.62,9.8,1,2
30.414535,77.150575,Ambala,Naraingarh,Amli,320.51,17.53,1,2
30.436125,77.156168,Ambala,Naraingarh,Nanhera,309.1,19.59,1,2
30.433034,77.107227,Ambala,Naraingarh,Kazampur,316.48,15.85,1,2
30.349238,77.082874,Ambala,Naraingarh,Joli,292.5,20.65,0,2
30.357839,77.064487,Ambala,Naraingarh,Budhha Khera,293,8.03,1,2
30.474561,77.127231,Ambala,Naraingarh,Naraingarh,322.71,26.25,0,2
30.359381,77.132353,Ambala,Naraingarh,Surgal,287.88,23.48,0,2
30.272333,76.78586,Ambala,Saha,Tharwa,277.05,15.35,1,2
30.313208,77.08239,Ambala,Saha,Talheri Gujran,271.56,17.3,1,2
30.303878,77.01393,Ambala,Saha,Nahoni,281.72,15.75,1,2
30.347118,76.986662,Ambala,Saha,Malak Pur,295.14,5.93,1,2
30.314612,76.936379,Ambala,Saha,Mitha Pur,275.25,5.4,1,2
30.28,76.95,Ambala,Saha,Bihta,270.96,4.75,2,2
30.211546,76.90009,Ambala,Saha,Dinarpur,282.13,37.62,0,2
30.252418,76.874262,Ambala,Saha,Khanpur,277.7,6.53,1,2
30.252407,76.950984,Ambala,Saha,Nagla,273.66,4.4,2,2
30.305769,76.946786,Ambala,Saha,Saha/Tepla,275,36.15,0,2
30.360641,77.00217,Ambala,Shahzadpur,Rajpura,294.14,6.6,1,2
30.397055,76.965379,Ambala,Shahzadpur,Chhota Korwa,291.5,10.98,1,2
30.432345,77.068778,Ambala,Shahzadpur,Sadiqpur,315.21,7.01,1,2
30.387798,77.087058,Ambala,Shahzadpur,Nek Nawan,300.5,19.3,1,2
30.433417,76.953773,Ambala,Shahzadpur,Patvi,302.31,20.94,0,2
30.506394,77.083067,Ambala,Shahzadpur,Wasilpur,326.81,16.88,1,2
30.469561,77.070774,Ambala,Shahzadpur,Bari Bassi,314.97,10.85,1,2
30.462408,77.065953,Ambala,Shahzadpur,Bara garh,313.51,9.88,1,2
30.444959,77.032431,Ambala,Shahzadpur,Shahzadpur,306,4.16,2,2
30.459719,76.994195,Ambala,Shahzadpur,Mukandpur,309.55,12.51,1,2
30.48174,77.024007,Ambala,Shahzadpur,Kakkar Majra,318.91,12.35,1,2
30.438095,76.916055,Ambala,Shahzadpur,Samru,296.01,12.85,1,2
30.436768,76.907633,Ambala,Shahzadpur,Khera Jattan,291,8.95,1,2
30.443499,77.032246,Ambala,Shahzadpur,Shahzadpur,307,3.92,2,2
30.395078,77.011272,Ambala,Shahzadpur,Bichali Dhamouli,300.7,8.35,1,2
30.480915,76.913811,Ambala,Shahzadpur,Raiwali,299.04,25.6,0,2
29.01689,76.051037,Bhiwani,B.Khera,ALAKHPURA,212.41,2.96,2,0
28.893412,76.013591,Bhiwani,B.Khera,BALIYALI,213.08,4.11,2,0
29.041715,76.027156,Bhiwani,B.Khera,BARSI,214.11,4.92,2,0
