FID,District ,Block,Village,Typeof Observationl Well,Latitude,Longitude,WQL,WQL Category
1,Ambala,Ambala-I,Nasirpur,PT,30.3510372,76.75955617,450,2
2,Ambala,Ambala-I,Bullana,DW,30.32341311,76.72988421,1450,2
3,Ambala,Ambala-I,Bhurangpur,DW,30.2743537,76.63769407,2250,1
4,Ambala,Ambala-I,Pinjola,DW,30.26,76.6,850,2
5,Ambala,Ambala-I,Khanna Majra,DW,30.23965094,76.64321211,1450,2
6,Ambala,Ambala-I,Baknaur,DW,30.25798474,76.66079106,900,2
7,Ambala,Ambala-I,Chaur Mastpur,DW,30.28256778,76.69212546,1850,2
8,Ambala,Ambala-I,Hasanpur,DW,30.21,76.9,1000,2
9,Ambala,Ambala-I,Chhapra,DW,30.1081614,76.61392403,1200,2
10,Ambala,Ambala-I,Jansui,DW,30.20483122,76.66304934,1450,2
11,Ambala,Ambala-I,Ambala City,DW,30.34094329,76.81059114,750,2
12,Ambala,Ambala-I,Ugara,DW,30.31,76.8,1200,2
13,Ambala,Ambala-I,Tharwa,DW,30.27450333,76.7912489,1000,2
14,Ambala,Ambala-I,Bichpari,DW,30.23722005,76.7768713,1800,2
15,Ambala,Ambala-I,Tejan,DW,30.2666513,76.74140302,1000,2
16,Ambala,Ambala-I,Behbalpur,DW,30.29635301,76.76196944,1850,2
17,Ambala,Ambala-I,Dukheri,DW,30.28,76.88,800,2
18,Ambala,Ambala-I,Mohra,DW,30.26389974,76.85106309,900,2
19,Ambala,Ambala-I,Shahpur,PT,30.24061576,76.68479957,1800,2
20,Ambala,Ambala-I,Kalumazra,DW,30.37614598,76.73261639,950,2
21,Ambala,Ambala-II,Ambala Cantt.,DW,30.36782974,76.82998066,750,2
22,Ambala,Ambala-II,Lohgarh,DW,30.42268204,76.76454006,950,2
23,Ambala,Ambala-II,Mandaur,DW,30.4013428,76.80611443,850,2
24,Ambala,Ambala-II,Panjokhra,DW,30.40944287,76.84888791,900,2
25,Ambala,Ambala-II,Boh,DW,30.38,76.88,750,2
26,Ambala,Ambala-II,Khojkipur,DW,30.326468,76.86915117,700,2
27,Ambala,Ambala-II,Bara Khudda,DW,30.31927671,76.90224259,800,2
28,Ambala,Ambala-II,Kapoori/Saphera,PT,30.33732484,76.92697906,650,2
29,Ambala,Barara,Akalgarh,PT,30.15342682,77.02310249,1050,2
30,Ambala,Barara,Holi,PT,30.23330015,77.0683154,750,2
31,Ambala,Barara,Manki,DW,30.23393733,77.1403105,600,2
32,Ambala,Barara,Salehpur,DW,30.26179404,77.10347521,850,2
33,Ambala,Barara,Binjalpur,DW,30.30555442,77.13396866,950,2
34,Ambala,Barara,Sohana,DW,30.25040493,77.02052461,800,2
35,Ambala,Barara,Tandwal,DW,30.22750611,76.97720125,1050,2
36,Ambala,Barara,Barara,PT,30.21066011,77.03828556,500,2
37,Ambala,Barara,Adhoya,PT,30.18311146,77.03715234,750,2
38,Ambala,Barara,Ugala,PT,30.19579995,76.97834963,800,2
