YEAR,DOY,rain(mm),humidity,temp
2023,1,0,48,14.29
2023,2,0,43.31,13.26
2023,3,0,44.5,10.91
2023,4,0,47.44,10.73
2023,5,0,44.19,10.9
2023,6,0,39.88,10.98
2023,7,0,38.62,12.36
2023,8,0,39.62,14.59
2023,9,0,44.25,14.33
2023,10,0,57.19,14.29
2023,11,2.07,56.06,15.78
2023,12,3.26,75,14.69
2023,13,0.51,60.94,14.72
2023,14,0.01,28.94,9.8
2023,15,0,32.38,9.85
2023,16,0,32.25,10.87
2023,17,0,29.62,11.55
2023,18,0,32.06,11.82
2023,19,1,44.19,13.45
2023,20,0.68,65.62,12.44
2023,21,0,58.38,14.12
2023,22,0,56.81,14.55
2023,23,0,51.25,16.4
2023,24,1.92,82.94,15.14
2023,25,0.01,60.06,13.55
2023,26,0,49.56,11.65
2023,27,0,43.12,11.86
2023,28,0,37.5,14.87
2023,29,4.81,69.38,12.62
2023,30,7.22,84.88,13.4
2023,31,0,68.81,13.81
2023,32,0,55.69,13.36
2023,33,0,49.19,15.4
2023,34,0,43.94,17.37
2023,35,0,52,17.67
2023,36,0,46.62,19.06
2023,37,0,46.19,19.71
2023,38,0,46.62,16.84
2023,39,0,31.5,18.42
2023,40,0,41.38,19.1
2023,41,0,49.38,20.51
2023,42,0,40.56,17.44
2023,43,0,32.94,13.99
2023,44,0,22.62,15.3
2023,45,0,28.81,18.45
2023,46,0,35.38,20.62
2023,47,0,40,21.87
2023,48,0,36.25,22.73
2023,49,0,24.62,23.7
2023,50,0,25.5,24.03
2023,51,0,29.81,23.85
2023,52,0.01,31.88,21.86
2023,53,0,30.75,20.81
2023,54,0,27.62,21.37
2023,55,0,28.94,22.65
2023,56,0,28.12,23.95
2023,57,0,32.31,23.92
2023,58,0,32.81,24.19
2023,59,0.05,36.56,23.37
2023,60,0,37.38,23.07
2023,61,0,42.31,23.23
2023,62,0,41.19,23.46
2023,63,0,37.69,22.94
2023,64,0,36.12,23.66
2023,65,0,29.62,24.47
2023,66,0.52,27.56,24.97
2023,67,0.01,31.5,24.5
2023,68,0,32.69,24.46
2023,69,0,25.69,24.9
2023,70,0,24.5,25.78
2023,71,0,27.5,27.1
2023,72,0,31.31,26.67
2023,73,0,29.5,27.05
2023,74,0,27.25,27.26
2023,75,0.45,38.31,24.96
2023,76,2.05,50.81,24.12
2023,77,3.75,65.31,21.01
2023,78,3.32,59,22.83
2023,79,23.89,78.06,19.3
2023,80,0.4,65.25,20.9
2023,81,0.42,56.06,22.57
2023,82,0.22,50.62,23.94
2023,83,8.51,62.44,23.83
2023,84,0.09,59.88,22.26
2023,85,0,52.62,21.97
2023,86,0,47.25,22.12
2023,87,0,44.31,24.25
2023,88,0.54,44.38,25.87
2023,89,8,59.5,23.91
2023,90,4.65,71.44,21.44
2023,91,7.33,61.5,22.79
2023,92,0,56.25,23.96
2023,93,4.43,55.19,25.07
2023,94,0.01,56.81,23.4
2023,95,0.01,43.62,24.78
2023,96,0,41.88,24.4
2023,97,0,35.06,24.8
2023,98,0,31.94,26.44
2023,99,0,32.5,27.26
2023,100,0,33.5,27.95
2023,101,0,35.38,29
2023,102,0,38.69,29.51
2023,103,0,32.75,29.84
2023,104,0,24.31,32.17
2023,105,0,23.88,32.8
2023,106,0.02,26.88,31.92
2023,107,0,25.25,33.37
2023,108,0.07,31.88,32.22
2023,109,0.98,38.94,29.89
2023,110,1.35,38.88,28.71
2023,111,0.01,32.19,27.91
2023,112,1.46,27.12,27.83
2023,113,2.24,36.31,26.18
2023,114,0,32.31,27.75
2023,115,0,30.38,28.86
2023,116,0,29.69,30.87
2023,117,1.15,35.75,29.48
2023,118,1.42,39.5,28.36
2023,119,0.48,53.31,25.79
2023,120,1.86,56,25.9
2023,121,3.91,69.69,23.04
2023,122,1.21,74.44,22.65
2023,123,11.06,68.56,24.26
2023,124,0.26,46.44,27.69
2023,125,0,46.56,27.55
2023,126,0.66,42.62,30.03
2023,127,0.47,29.94,30.78
2023,128,0,24.75,29.59
2023,129,0,25.12,29.05
2023,130,0,20.75,30.08
2023,131,0,16.5,32.72
2023,132,0,17,34.35
2023,133,0.21,18.88,35.2
2023,134,0.48,21.31,34.19
2023,135,1.05,22.06,34.91
2023,136,0.04,24.81,33.76
2023,137,8.47,32,35
2023,138,3.75,44.88,30.6
2023,139,0,36.38,31.73
